color,lat,long
#010400,49.287029,-123.115623
#060504,49.300743,-123.130331
#0B0F0D,49.272916,-123.119220
#130702,49.281990,-123.098068
#010001,49.272350,-123.155327
#9D5D7E,49.268032,-123.155807
#0B0B08,49.280212,-123.117270
#040202,49.286905,-123.129728
#020102,49.287029,-123.115623
#FEFDFE,49.279835,-123.125771
#131D17,49.282219,-123.134659
#040202,49.283623,-123.103828
#010001,49.262500,-123.068889
#C4B2B4,49.272500,-123.113266
#F4E5E5,49.281582,-123.132782
#020201,49.287029,-123.115623
#070709,49.292648,-123.128988
#EBAACB,49.283327,-123.119291
#0A0D06,49.287945,-123.140661
#906A7C,49.258400,-123.088408
#070503,49.292648,-123.128988
#020102,49.287029,-123.115623
#080D09,49.274063,-123.154361
#EEF0F0,49.284933,-123.143065
#9E8293,49.218494,-122.971001
#020304,49.300743,-123.130331
#E9FAFA,49.277687,-123.151955
#020102,49.279839,-123.116882
#000000,49.279720,-123.130350
#F5DDF7,49.292648,-123.128988
#17422F,49.283141,-123.117692
#020701,49.274063,-123.154361
#930B23,49.263329,-123.141701
#020202,49.284313,-123.095337
#010101,49.279720,-123.130350
#E5D6DA,49.276352,-123.119621
#040601,49.300743,-123.130331
#0D802A,49.278130,-123.084633
#050203,49.300000,-123.140000
#E5D5E3,49.281548,-123.123627
#050504,49.265381,-123.106903
#191E18,49.274311,-123.123123
#F0EFEF,49.283180,-123.114578
#071506,49.254456,-123.080432
#1E201E,52.571182,6.639104
#030504,49.265381,-123.106903
#6EC199,49.283108,-123.118874
#0F0408,49.263496,-123.100739
#E2E2D9,49.280704,-123.117167
#1D050B,49.282520,-123.107964
#1F0208,49.287834,-123.117327
#050701,49.278732,-123.107221
#080406,49.290437,-123.121587
#1B0A04,49.279461,-123.122124
#190E11,49.264895,-123.069458
#050502,49.300743,-123.130331
#1A1017,49.250000,-123.100000
#0E0508,49.287431,-123.112809
#21A64E,49.262969,-123.114514
#060807,49.283058,-123.113000
#120D07,49.231654,-123.118212
#190B0A,49.282520,-123.107964
#960904,49.273724,-123.069344
#565656,49.284210,-123.140709
#F7DEE8,49.280258,-123.109634
#FAFAFB,49.283375,-123.102371
#A86F88,49.269400,-123.123800
#020402,49.279270,-123.129776
#788484,49.279573,-123.138529
#F0DDED,49.287029,-123.115623
#81999A,49.274345,-123.118765
#050501,49.280404,-123.121227
#030200,49.282959,-123.115181
#EAEAED,49.274599,-123.112129
#020101,49.277706,-123.125633
#020601,49.275276,-123.121262
#020101,49.277285,-123.114300
#060402,49.302448,-123.144623
#9E5069,49.284945,-123.127466
#9F2556,49.277515,-123.147227
#DCE5E2,49.300000,-123.140000
#A84975,49.287086,-123.113482
#8B8291,49.282799,-123.104073
#18140D,49.300000,-123.140000
#65A097,49.279573,-123.138529
#130905,49.283440,-123.118910
#0E0206,49.290249,-123.133812
#040101,49.281411,-123.074650
#010100,49.238990,-123.129839
#060504,49.275404,-123.109266
#0D0303,49.250000,-123.100000
#10090D,49.284462,-123.117621
#140409,49.290249,-123.133812
#D5C4DB,49.281422,-123.105178
#070501,49.281391,-123.132736
#030403,49.300000,-123.140000
#070101,49.275173,-123.120865
#917997,49.218494,-122.971001
#050504,49.283718,-123.121109
#150508,49.259129,-123.100769
#190307,49.248316,-123.114724
#F7F0F3,49.268482,-123.167236
#0B0909,49.272625,-123.135620
#6C9282,49.271856,-123.135008
#021704,49.288915,-123.111009
#1A0E12,49.271418,-123.133671
#1F1D21,49.291859,-123.135139
#010101,49.288311,-123.116730
#030403,49.265881,-123.138901
#070302,49.283695,-123.106071
#020302,49.250000,-123.100000
#010302,49.250000,-123.100000
#050405,49.251628,-123.127329
#040301,49.287029,-123.115623
#030403,49.269421,-123.139839
#FCFBFC,49.285833,-123.042778
#DDC9CC,49.250000,-123.100000
#E8C7DF,49.290160,-123.139994
#010101,49.283109,-123.108402
#DCAEBA,49.250000,-123.100000
#090507,49.278975,-123.097481
#74A183,49.280414,-123.126281
#86798F,49.230282,-123.090858
#FAF8F9,49.250000,-123.100000
#10AA05,49.280404,-123.121227
#04150F,49.282834,-123.120458
#0E1A13,49.272312,-123.128288
#0C0305,49.287029,-123.115623
#040603,49.287029,-123.115623
#070301,49.282799,-123.104073
#689D8C,49.283901,-123.141359
#F0EDEF,49.278830,-123.109730
#4A1022,49.300000,-123.140000
#020402,49.283623,-123.103828
#D2C5C3,49.264225,-123.101075
#121117,49.264158,-123.108072
#050802,49.254272,-123.101141
#020302,49.273990,-123.075789
#738781,49.286556,-123.142616
#827D84,49.292648,-123.128988
#020102,49.256686,-123.069140
#1C190C,49.277805,-123.127274
#080305,49.270655,-123.106396
#FEFEFF,49.263711,-123.141553
#040404,49.272451,-123.123960
#130B0F,49.276297,-123.128923
#060707,49.272451,-123.123960
#21532C,49.288311,-123.116730
#040404,49.290437,-123.121587
#E1D5D2,49.300000,-123.140000
#B10B05,49.289040,-123.122286
#12090B,49.257075,-123.097283
#060602,49.283142,-123.103722
#010000,49.282959,-123.115181
#8E978D,49.279630,-123.120440
#100608,49.275009,-123.122002
#A36689,49.264141,-123.100082
#EECCD8,49.277813,-123.134960
#121512,49.275581,-123.128592
#070704,49.282325,-123.108887
#955C76,49.256062,-123.114891
#F0EEEE,49.269520,-123.138408
#F4F5F5,49.279667,-123.136002
#F4FCFA,49.274063,-123.154361
#D6CBD1,49.250000,-123.100000
#020102,49.281944,-123.121944
#ADD4C8,49.293240,-123.140152
#131313,49.284691,-123.114510
#040504,49.284599,-123.108887
#130806,49.280701,-123.120544
#010000,49.282959,-123.115181
#565656,49.280796,-123.117943
#8A1953,49.287768,-123.120154
#B67EA7,49.283142,-123.103722
#050E08,49.282051,-123.120850
#9A6B8F,49.273476,-123.113510
#F4A0DA,49.283327,-123.119291
#061307,49.289331,-123.117620
#010101,49.279270,-123.129776
#030203,49.282051,-123.120850
#15A890,49.283588,-123.122449
#030103,49.292897,-123.132697
#190916,49.282084,-123.118823
#020001,49.270556,-123.133333
#672B45,49.281804,-123.106025
#010301,49.282959,-123.115181
#652050,49.283141,-123.117692
#F5F1F3,49.280048,-123.125627
#1F0F12,49.280294,-123.125283
#D6DFD9,49.270833,-123.106667
#8D6079,49.291859,-123.135139
#030102,49.278198,-123.113579
#F0E6ED,49.288651,-123.136006
#040203,49.276322,-123.128811
#B286BB,49.250000,-123.100000
#0B0C0B,49.275470,-123.136643
#C3E5D7,49.227272,-123.005350
#050504,49.273297,-123.069632
#030302,49.286556,-123.142616
#61585D,49.285739,-123.123934
#EEE5E8,49.288910,-123.131203
#020101,49.283440,-123.118910
#766277,49.284183,-123.113342
#A27A8C,49.288910,-123.131203
#0C1801,49.277706,-123.125633
#1D0C0C,49.272350,-123.155327
#070B07,49.259129,-123.100769
#530C1E,49.285160,-123.126297
#010100,49.281930,-123.100100
#030101,49.250000,-123.100000
#F7EBF2,49.288103,-123.112922
#E5E1E7,49.278526,-123.124397
#FAFEFE,49.293751,-123.149306
#996C89,49.270149,-123.069832
#0C0508,49.282352,-123.103081
#061308,49.312100,-123.142820
#030302,49.280350,-123.122208
#241E1E,49.242222,-123.115000
#1D0D13,49.274148,-123.123662
#020101,49.283690,-123.106145
#030101,49.280404,-123.121227
#050304,49.288311,-123.116730
#0E100F,49.270460,-123.100585
#010000,49.264240,-123.101410
#A7778C,49.232037,-123.157140
#5A5A5A,49.216284,-123.078487
#020102,49.259571,-123.134125
#1F040A,49.282801,-123.124067
#70535E,49.287472,-123.129094
#CDA9C1,49.277813,-123.134960
#080704,49.278351,-123.122139
#221F15,49.283718,-123.121109
#EEC7DA,49.280985,-123.123937
#030403,49.278545,-123.123833
#020102,49.280212,-123.117270
#0D0908,49.287431,-123.112809
#FCFBFC,49.290436,-123.141110
#B45681,49.249427,-123.101099
#0C0909,49.280212,-123.117270
#DFF0EC,49.276171,-123.144431
#050302,49.282959,-123.115181
#0B0906,49.247875,-123.130125
#0F0401,49.264240,-123.101410
#5BB493,49.274063,-123.154361
#8E7087,49.287941,-123.113132
#010701,49.290437,-123.121587
#030702,49.288311,-123.116730
#040704,49.300000,-123.140000
#E6DEE1,49.276030,-123.126778
#060401,49.282959,-123.115181
#0F0507,49.281767,-123.132144
#030103,49.274082,-123.127274
#040304,49.273454,-123.124589
#010101,49.288311,-123.116730
#1B1514,49.264240,-123.101410
#DAD7D8,49.283697,-123.113269
#060504,49.285063,-123.120397
#030103,49.283333,-123.119217
#FDF4F9,49.279131,-123.112842
#020202,49.280796,-123.117943
#080808,49.287029,-123.115623
#030303,49.283718,-123.121109
#0CCD62,49.289711,-123.116074
#0E0704,49.283440,-123.118910
#660616,49.216713,-123.116539
#060601,49.280404,-123.121227
#F5F4F5,49.276030,-123.126778
#EFEFF0,49.280212,-123.117270
#0C1509,49.286477,-123.118190
#C36DB4,49.264557,-123.105057
#040404,49.282325,-123.108887
#010101,49.282051,-123.120850
#060501,49.272678,-123.148163
#D6D6D6,49.257111,-123.097367
#020202,49.250000,-123.100000
#F0EFEB,49.277709,-123.118509
#030601,49.218494,-122.971001
#AFAA86,49.278803,-123.123928
#070604,49.283328,-123.125247
#DCDCDC,49.281071,-123.132874
#050A03,49.226765,-123.193394
#130C0F,49.281767,-123.132144
#19211C,49.288026,-123.113001
#0D080A,49.282425,-123.124291
#DBDCDB,49.273476,-123.113510
#050504,49.283623,-123.103828
#906F79,49.218494,-122.971001
#413531,49.275404,-123.109266
#0B0806,49.278526,-123.124397
#080305,49.270985,-123.155136
#110508,49.283327,-123.119291
#FEFEFE,49.250000,-123.100000
#A2676D,49.218494,-122.971001
#000000,49.280414,-123.126281
#F9F7F7,49.281411,-123.074650
#050100,49.272200,-123.134013
#15040C,49.275333,-123.099881
#695D68,49.282051,-123.120850
#010101,49.257148,-123.097325
#060504,49.280404,-123.121227
#ECE0E7,49.285359,-123.113844
#EBEBEB,49.257374,-123.090424
#1E0910,49.288390,-123.130570
#010000,49.281411,-123.074650
#060301,49.264413,-123.136799
#150C0B,49.269521,-123.144305
#010500,49.280796,-123.117943
#030202,49.270655,-123.106396
#628779,49.294900,-123.150161
#75C59C,49.300000,-123.140000
#B97A8D,49.278000,-123.117667
#304F3D,49.287375,-123.125964
#020101,49.274921,-123.123207
#846C7C,49.250000,-123.100000
#645668,49.282324,-123.104399
#D87EA1,49.278000,-123.117667
#10070A,49.277290,-123.148804
#060201,49.273353,-123.103411
#11090D,49.280237,-123.123904
#D5BCD0,49.281866,-123.103966
#130B1B,49.274063,-123.154361
#060604,49.279251,-123.120506
#0B080C,49.275349,-123.080353
#9B7574,49.283333,-123.119217
#AC2D4B,49.271241,-123.154067
#030201,49.284161,-123.112701
#0D0607,49.278000,-123.117667
#219D52,49.271156,-123.139790
#0A0204,49.291870,-123.134582
#0A0305,49.283141,-123.117692
#1D0F0F,49.278526,-123.124397
#040102,49.283333,-123.119217
#020101,49.281769,-123.133781
#6B041C,49.284962,-123.124396
#FCFAFC,49.263161,-123.102127
#C8EFDC,49.286675,-123.143220
#6A8A78,49.285833,-123.111667
#020201,49.284010,-123.125660
#020001,49.281411,-123.074650
#13080C,49.250000,-123.100000
#0C0A08,49.283484,-123.104265
#080607,49.277952,-123.118977
#056517,49.288012,-123.116842
#120707,49.262643,-123.101126
#040203,49.284980,-123.123583
#C07291,49.278351,-123.122139
#747D80,49.285739,-123.123934
#020101,49.271856,-123.135008
#E7F0F7,49.278304,-123.115584
#E0C3D3,49.269400,-123.123800
#F3F9F8,49.274063,-123.154361
#010001,49.284398,-123.121018
#1D1011,49.283283,-123.098007
#191113,49.300000,-123.140000
#010101,49.287231,-123.141441
#040503,49.263401,-123.117020
#0A0507,49.282830,-123.109650
#A5A5A5,49.285000,-123.134000
#EB97C2,49.280212,-123.117270
#180D12,49.284599,-123.108887
#030402,49.269350,-123.107384
#EAE6E3,49.263035,-123.112511
#030300,49.275660,-123.129648
#FAF8F9,49.234467,-123.069015
#040202,49.250707,-123.101068
#C772A1,49.250469,-123.077461
#0F0E0E,49.285251,-123.111934
#040303,49.276524,-123.100084
#0D0E0A,49.282297,-123.108941
#041A09,49.274063,-123.154361
#0B0606,49.285739,-123.123934
#050303,49.279452,-123.122732
#1D0606,49.282314,-123.134453
#030302,49.281204,-123.120316
#010101,49.282688,-123.104805
#839891,49.250000,-123.100000
#FEFAFD,49.283718,-123.121109
#030201,49.283718,-123.121109
#040B08,49.290170,-123.118142
#0F0E10,49.294900,-123.150161
#090909,49.281411,-123.074650
#170C0D,49.274063,-123.154361
#030202,49.300000,-123.140000
#DFCEF3,49.250000,-123.100000
#040403,49.242222,-123.115000
#1A0F11,49.282959,-123.115181
#C0B7C0,49.250000,-123.100000
#0B0706,49.291500,-123.135147
#822656,49.250000,-123.100000
#000201,49.232662,-123.076689
#110408,49.262920,-123.116028
#1E070B,49.281731,-123.106256
#818B87,49.270634,-123.069466
#030407,49.280371,-123.129529
#030202,49.263272,-123.117097
#060608,49.270745,-123.069713
#050505,49.293240,-123.140152
#836772,49.284759,-123.122697
#0F0C0C,49.281411,-123.074650
#50584F,49.278604,-123.125696
#F8E6F7,49.280720,-123.121391
#030103,49.280371,-123.129529
#020202,49.277715,-123.099286
#161012,49.254456,-123.080432
#F4F7F7,49.286797,-123.142540
#140B07,49.262643,-123.101126
#080305,49.242039,-123.111942
#768F85,49.292648,-123.128988
#030403,49.271856,-123.135008
#E4E0E3,49.287290,-123.129217
#1B1114,49.300743,-123.130331
#040401,49.250000,-123.100000
#C5C5C5,49.272552,-123.134292
#030402,49.250000,-123.100000
#010101,49.230344,-123.091827
#8C7589,49.300743,-123.130331
#D3D2D9,49.282989,-123.124039
#050404,49.284569,-123.142807
#010101,49.278604,-123.125696
#5FEFBA,49.271156,-123.139790
#A59C9F,49.281967,-123.106255
#E4DBDF,49.276180,-123.125150
#A7A7A5,49.287545,-123.119920
#61B9BF,49.263206,-123.105978
#130405,49.279251,-123.120506
#140407,49.268242,-123.152428
#040604,49.278604,-123.125696
#D6CBD1,49.250000,-123.100000
#0B0908,49.290249,-123.133812
#6AA390,49.294900,-123.150161
#050200,49.280258,-123.109634
#030001,49.292516,-123.133539
#040303,49.281411,-123.074650
#060606,49.276744,-123.111956
#EBC5D1,49.275600,-123.121101
#0D0606,49.283718,-123.121109
#1B090C,49.300000,-123.140000
#1A0D10,49.278056,-123.125936
#190A13,49.373592,-123.290646
#222423,49.278604,-123.125696
#050501,49.263383,-123.123017
#090909,49.281411,-123.074650
#6DB795,49.286675,-123.143220
#15090E,49.250000,-123.100000
#B4A0BF,49.275650,-123.117990
#010001,49.280404,-123.121227
#030202,49.278604,-123.125696
#020303,49.277706,-123.125633
#801919,49.280350,-123.122208
#FEFCFD,49.282989,-123.124039
#111D17,49.300000,-123.140000
#020601,49.285739,-123.123934
#ADEEDA,49.274063,-123.154361
#060605,49.286740,-123.132200
#060403,49.250707,-123.101068
#080301,49.285524,-123.118666
#E78EC5,49.288395,-123.139831
#040102,49.283333,-123.119217
#0A090A,49.278774,-123.122895
#030303,49.226272,-123.153784
#5A5358,49.284042,-123.107463
#130A0F,49.286675,-123.143220
#BAB0BC,49.251722,-123.101091
#ECF9F6,49.274063,-123.154361
#0F0407,49.280704,-123.117167
#060103,49.300000,-123.140000
#F9F9F9,49.283462,-123.114122
#C485A2,49.290610,-123.137140
#020101,49.278604,-123.125696
#050303,49.280659,-123.100861
#015700,49.275490,-123.109292
#1B0509,49.264456,-123.069657
#F1F0F3,49.247940,-123.100723
#F8F5F8,49.284042,-123.107463
#71777B,49.271856,-123.135008
#110A10,49.239083,-123.111539
#050303,49.282234,-123.124434
#060304,49.278265,-123.122460
#07110A,49.285029,-123.127597
#020402,49.287894,-123.120479
#1F1216,49.288701,-123.120756
#20181C,49.294900,-123.150161
#080202,49.300000,-123.140000
#649A7F,49.278413,-123.148618
#C1E9DC,49.280212,-123.117270
#B66698,49.278604,-123.125696
#1D060F,49.282324,-123.104399
#524B4D,49.280781,-123.132072
#120705,49.264759,-123.116791
#750516,49.227940,-123.090286
#080506,49.300743,-123.130331
#776F72,49.272051,-123.128267
#A97590,49.231475,-123.119214
#9A7987,49.290363,-123.137383
#060705,49.285290,-123.122795
#060B03,49.277358,-123.125280
#E2CBE5,49.287224,-123.113916
#020302,49.286556,-123.142616
#E6E3E6,49.281015,-123.120393
#967385,49.280380,-123.130840
#160C0E,49.283327,-123.119291
#090405,49.287026,-123.142238
#74BCA1,49.283690,-123.106145
#F7F8F8,49.284679,-123.111893
#FBF7FB,49.287224,-123.113916
#150B0A,49.279560,-123.121971
#020302,49.284962,-123.124396
#010100,49.281929,-123.100098
#050204,49.299042,-123.119904
#FBEEF4,49.282799,-123.104073
#050302,49.285294,-123.111887
#020102,49.273616,-123.121142
#ACD2C2,49.242222,-123.115000
#F0F2F2,49.282750,-123.116639
#E7ACCC,49.243401,-123.100952
#E9E9E9,49.280371,-123.129529
#070605,49.283333,-123.119217
#060706,49.287029,-123.115623
#060501,49.280720,-123.121391
#0E0507,49.274063,-123.154361
#020101,49.278957,-123.123207
#F8F5F6,49.273512,-123.126926
#6ADCB3,49.283642,-123.106773
#461424,49.265670,-123.092300
#060604,49.283327,-123.119291
#F5EFEF,49.287029,-123.115623
#031304,49.272005,-123.114896
#72BA97,49.287472,-123.142936
#7AB396,49.284569,-123.142807
#EDF0F2,49.278618,-123.110296
#120B05,49.280294,-123.125283
#040201,49.283473,-123.104262
#0E0506,49.288399,-123.140694
#16080C,49.275497,-123.069641
#020402,49.282219,-123.134659
#F8F8FA,49.279459,-123.123020
#020202,49.262790,-123.145374
#FDFDFD,49.263029,-123.143506
#B5B6BA,49.284569,-123.142807
#EBD6DF,49.260250,-123.139107
#1C0810,49.290363,-123.137383
#010401,49.263466,-123.100739
#0A0116,49.276310,-123.125092
#CC88AC,49.291500,-123.135147
#F4E6EF,49.286233,-123.140241
#20161C,49.281944,-123.121944
#BFB6A7,49.289373,-123.122981
#82998A,49.254456,-123.080432
#050104,49.283333,-123.119217
#0F090A,49.244119,-123.107394
#FBFBFB,49.283913,-123.130219
#021B05,49.250000,-123.100000
#070404,49.276524,-123.100084
#070906,49.273353,-123.103411
#020202,49.277119,-123.115112
#957682,49.232979,-123.077461
#938B85,49.268272,-123.156814
#0F0408,49.284308,-123.095509
#010101,49.259986,-123.100912
#060301,49.297663,-123.157150
#020101,49.250000,-123.100000
#FAF9F9,49.281411,-123.074650
#0A1315,49.272414,-123.110831
#F0DDE7,49.278830,-123.109730
#241319,49.295844,-123.151891
#10080B,49.281944,-123.121944
#040202,49.263756,-123.139679
#0D0606,49.291656,-123.127470
#050403,49.281224,-123.135785
#040303,49.284569,-123.142807
#0B0607,49.268242,-123.152428
#6BAC87,49.294900,-123.150161
#FBFBFB,49.283440,-123.118910
#111007,49.280096,-123.120196
#010E03,49.275470,-123.136643
#060201,49.280067,-123.121513
#FAFAF9,49.281411,-123.074650
#060802,49.288915,-123.111009
#1B0E08,49.283333,-123.119217
#020706,49.300743,-123.130331
#9A7281,49.263191,-123.133499
#010101,49.259986,-123.100912
#060503,49.281329,-123.133218
#6D8378,49.286797,-123.142540
#0F0D07,49.287014,-123.128235
#030202,49.288338,-123.112545
#FAF9F9,49.285739,-123.123934
#030202,49.276211,-123.099480
#ECFAF4,49.290437,-123.121587
#000800,49.300000,-123.140000
#050405,49.286675,-123.143220
#09110C,49.266482,-123.103704
#060402,49.272200,-123.134013
#0D0E0D,49.286675,-123.143220
#F6F4F6,49.294900,-123.150161
#030303,49.300000,-123.140000
#020302,49.283333,-123.119217
#ECF4F3,49.300000,-123.140000
#73928A,49.279573,-123.138529
#040102,49.279869,-123.121490
#180D16,49.245830,-123.094177
#9D789E,49.283440,-123.118910
#929E97,49.280212,-123.117270
#090102,49.242222,-123.115000
#C57A95,49.271225,-123.106682
#EBE9E8,49.294900,-123.150161
#0D0D0D,49.284042,-123.107463
#0D0B0B,49.284691,-123.114510
#0C0C0B,49.274063,-123.154361
#030202,49.286797,-123.142540
#0B1619,49.242100,-123.113800
#0E0D0C,49.280609,-123.132118
#F7EEF4,49.278000,-123.117667
#B373A2,49.282051,-123.120850
#0A0406,49.284861,-123.122912
#090407,49.284569,-123.142807
#0D0808,49.294900,-123.150161
#050402,49.283333,-123.119217
#280711,49.287842,-123.116341
#030402,49.284569,-123.142807
#CCCACB,49.283924,-123.105827
#F5EFF5,49.280361,-123.101321
#050605,49.273605,-123.069344
#0B1711,49.286675,-123.143220
#1A090C,49.237665,-123.139252
#070404,49.286675,-123.143220
#1B0906,49.273353,-123.103411
#050401,49.286675,-123.143220
#AC758C,49.265513,-123.091775
#BA8D97,49.286885,-123.128056
#020302,49.286675,-123.143220
#140407,49.280960,-123.077370
#140805,49.273353,-123.103411
#0E060A,49.231654,-123.118212
#0B0407,49.286675,-123.143220
#010101,49.289711,-123.116074
#030502,49.274320,-123.111175
#080B07,49.242222,-123.115000
#040303,49.273605,-123.069344
#EAE5F3,49.291380,-123.131739
#739993,49.284311,-123.143344
#1A0A0F,49.285739,-123.123934
#8B738A,49.294900,-123.150161
#0B0A0A,49.265125,-123.119360
#040203,49.280404,-123.121227
#070805,49.286675,-123.143220
#F8E9F4,49.287123,-123.142566
#020101,49.282989,-123.124039
#09130F,49.287231,-123.142052
#BAEBD9,49.284569,-123.142807
#FDFDFC,49.275404,-123.109266
#0A110D,49.288311,-123.116730
#030201,49.275276,-123.121262
#050605,49.280404,-123.121227
#F1EFF1,49.250000,-123.100000
#171315,49.284569,-123.142807
#050403,49.280720,-123.121391
#010100,49.277900,-123.099500
#1C1C1C,49.273741,-123.133053
#020102,49.294185,-123.133082
#B6C7C5,49.284569,-123.142807
#040304,49.273741,-123.133053
#010201,49.277290,-123.148804
#050606,49.269400,-123.123800
#E9B0C7,49.272452,-123.135197
#0F0A0B,49.275529,-123.101059
#FCF9FB,49.280796,-123.117943
#020101,49.284569,-123.142807
#130D0A,49.294900,-123.150161
#040706,49.293286,-123.139987
#F1E5F1,49.278545,-123.123833
#FEFEFE,49.281325,-123.131384
#14110A,49.284569,-123.142807
#14090B,49.281685,-123.132942
#030302,49.283333,-123.119217
#071811,49.271856,-123.135008
#E7E0E4,49.286477,-123.118190
#EAF8F3,49.250000,-123.100000
#F0C3DC,49.259029,-123.139160
#E1E7E5,49.283019,-123.104865
#16050A,49.250530,-123.100601
#9A8291,49.291656,-123.127470
#C1B1B7,49.244751,-123.101495
#EEF4F4,49.286141,-123.143160
#E0D6DA,49.284883,-123.125279
#0D0F0B,49.271856,-123.135008
#F4EAF2,49.283119,-123.118440
#060603,49.284569,-123.142807
#120508,49.284313,-123.095337
#050204,49.300000,-123.140000
#0A1709,49.263880,-123.135000
#020101,49.284569,-123.142807
#181114,49.279164,-123.137844
#E7F1EE,49.286141,-123.143160
#161305,49.282799,-123.104073
#030102,49.260000,-123.101000
#D8D9DA,49.300000,-123.140000
#050705,49.284569,-123.142807
#060604,49.288743,-123.139194
#070503,49.285250,-123.125790
#151618,49.217536,-123.128868
#181009,49.284569,-123.142807
#16090C,49.282708,-123.118964
#DCEBE8,49.284569,-123.142807
#161615,49.286797,-123.142540
#030202,49.284569,-123.142807
#050203,49.250000,-123.100000
#5EA986,49.284569,-123.142807
#100909,49.285250,-123.125790
#040203,49.284569,-123.142807
#030101,49.279617,-123.101364
#E0E1E3,49.271650,-123.106480
#F6F3F6,49.286675,-123.143220
#060705,49.280739,-123.117157
#245D44,49.288311,-123.116730
#1DA267,49.284599,-123.108887
#030403,49.284569,-123.142807
#080806,49.288915,-123.111009
#E6F3EF,49.271650,-123.106480
#17050A,49.283109,-123.108402
#ACBDAD,49.300000,-123.140000
#0B0C0D,49.242222,-123.115000
#BC5483,49.287224,-123.113916
#20BB50,49.284042,-123.107463
#030202,49.263592,-123.112727
#100D07,49.300743,-123.130331
#66D2A6,49.286675,-123.143220
#140D04,49.279857,-123.099708
#BDB9A8,49.283397,-123.103647
#121310,49.290437,-123.121587
#9E667F,49.287029,-123.115623
#0F080B,49.289711,-123.116074
#9D7F90,49.280960,-123.077370
#040303,49.271156,-123.139790
#BAD9D0,49.286675,-123.143220
#030102,49.284569,-123.142807
#EFECED,49.286675,-123.143220
#7C6772,49.288311,-123.116730
#100407,49.282558,-123.106278
#E9DDE8,49.278191,-123.114655
#040103,49.287231,-123.142052
#DFE4ED,49.286797,-123.142540
#1F1011,49.286675,-123.143220
#6AC6A1,49.300000,-123.140000
#1EDB70,49.290437,-123.121587
#030302,49.287290,-123.129217
#1E1517,49.248672,-123.096328
#F3EFF0,49.284569,-123.142807
#FBFAFA,49.276809,-123.112154
#030201,49.275404,-123.109266
#937A8F,49.280371,-123.129529
#070705,49.286675,-123.143220
#01730A,49.300743,-123.130331
#030402,49.276809,-123.112154
#6DA392,49.284569,-123.142807
#0C0606,49.284861,-123.122912
#05BA62,49.289711,-123.116074
#030201,49.251000,-123.166500
#D2CAD5,49.284569,-123.142807
#D6D8D9,49.283642,-123.106773
#19090E,49.251000,-123.166500
#060504,49.276979,-123.126573
#030203,49.281537,-123.095219
#180304,49.286556,-123.142616
#FCFCFC,49.276809,-123.112154
#1A0F16,49.286675,-123.143220
#030202,49.284569,-123.142807
#160E0F,49.284569,-123.142807
#020402,49.279452,-123.122732
#060404,49.286797,-123.142540
#7B8684,49.287231,-123.142052
#061510,49.287158,-123.141899
#AC8799,49.272197,-123.129622
#521421,49.267151,-123.069663
#65A38B,49.284569,-123.142807
#998884,49.277285,-123.114300
#E0CDD6,49.266769,-123.097168
#0E0709,49.286095,-123.126602
#070707,49.238716,-123.077080
#D3D3D3,49.273476,-123.113510
#030303,49.284569,-123.142807
#050705,49.268242,-123.152428
#130308,49.283141,-123.117692
#0B0B07,49.286675,-123.143220
#15090A,49.288462,-123.140109
#E5DAE9,49.268154,-123.157718
#030505,49.250000,-123.100000
#100B06,49.286675,-123.143220
#050303,49.284569,-123.142807
#050203,49.287224,-123.113916
#090B05,49.280148,-123.120211
#DCDBF1,49.284569,-123.142807
#010101,49.288128,-123.114868
#955C75,49.288218,-123.116785
#010101,49.281411,-123.074650
#12080A,49.258901,-123.087865
#0F0207,49.286675,-123.143220
#050505,49.283718,-123.121109
#040202,49.284679,-123.111893
#6E2644,49.284569,-123.142807
#010001,49.284569,-123.142807
#020201,49.300743,-123.130331
#BEA3B1,49.286797,-123.142540
#B98CA8,49.280781,-123.132072
#F1EFF2,49.268242,-123.152428
#0A0B08,49.286675,-123.143220
#9C8594,49.242164,-123.101229
#020403,49.294444,-123.111389
#13160D,49.233056,-123.116667
#070707,49.294900,-123.150161
#100408,49.287224,-123.113916
#689488,49.279573,-123.138529
#0C0809,49.282989,-123.124039
#B7C0CB,49.289249,-123.122093
#E5CADB,49.285291,-123.125551
#100A09,49.284679,-123.111893
#71B58D,49.284569,-123.142807
#A74A7A,49.286302,-123.127228
#A1959B,49.284661,-123.112716
#14090D,49.274428,-123.152621
#030B06,49.290170,-123.118142
#080304,49.250000,-123.100000
#628976,49.272625,-123.135620
#060604,49.274594,-123.122184
#F6F2F4,49.284569,-123.142807
#F9FBFA,49.284398,-123.121018
#E9E0DD,49.286349,-123.125694
#030102,49.280704,-123.117167
#080305,49.288201,-123.128189
#050504,49.294900,-123.150161
#6C8E84,49.286797,-123.142540
#C47BA1,49.263523,-123.139489
#030400,49.269583,-123.069642
#E3CBE4,49.260860,-123.116287
#020101,49.277340,-123.125641
#010101,49.263200,-123.138753
#0B0D0B,49.250000,-123.100000
#060505,49.280704,-123.117167
#15090D,49.274428,-123.152621
#16060A,49.271189,-123.154923
#150605,49.280855,-123.126339
#040203,49.271856,-123.135008
#8696A5,49.275867,-123.121022
#6B7D81,49.290437,-123.121587
#060601,49.286675,-123.143220
#060606,49.285029,-123.127597
#070604,49.288033,-123.114475
